name,country,city,tier,qs_world_ranking,the_world_ranking,us_news_ranking,type,website,description,updated_at,university_id,accreditations,address,admissions_url,alternate_names,arwu_ranking,average_tuition_domestic,average_tuition_international,campus_size_acres,campus_type,colors,confidence_score,created_at,data_source,email,endowment_usd,faculty_count,founding_year,housing_options,international_students,international_support,latitude,libraries_count,logo_url,longitude,mascot,memberships,motto,phone,research_centers,research_intensity,social_media,sports_facilities,state_province,student_faculty_ratio,student_organizations,subject_rankings,support_services,total_students
Technical University of Munich,Germany,Garching,,,,,,,,2025-11-28T06:57:30.507000,9e550f3fda50,[],,,[],,,,,,[],0.0,2025-11-28T06:57:30.248000,scraped,,,,,[],,[],,,,,,[],,,[],,{},[],,,[],{},[],
University of Oxford,United Kingdom,Oxford,,,,,,,,2025-11-28T06:57:30.252000,034e4add99a2,[],,,[],,,,,,[],0.0,2025-11-28T06:57:30.247000,scraped,,,,,[],,[],,,,,,[],,,[],,{},[],,,[],{},[],
Test University,Germany,Berlin,,,,,,,,2025-11-27T10:10:06.816000,8f71d927adbe,[],,,[],,,,,,[],0.0,2025-11-27T10:10:06.780000,scraped,,,,,[],,[],,,,,,[],,,[],,{},[],,,[],{},[],
Another University,United Kingdom,London,,,,,,,,2025-11-27T10:10:06.819000,e396b9bb1500,[],,,[],,,,,,[],0.0,2025-11-27T10:10:06.780000,scraped,,,,,[],,[],,,,,,[],,,[],,{},[],,,[],{},[],
University of Cambridge,United Kingdom,Cambridge,,,,,,,,2025-11-28T06:57:30.496000,cd1e97a94688,[],,,[],,,,,,[],0.0,2025-11-28T06:57:30.247000,scraped,,,,,[],,[],,,,,,[],,,[],,{},[],,,[],{},[],
Imperial College London,United Kingdom,London,,,,,,,,2025-11-28T06:57:30.499000,e34025a23097,[],,,[],,,,,,[],0.0,2025-11-28T06:57:30.248000,scraped,,,,,[],,[],,,,,,[],,,[],,{},[],,,[],{},[],
ETH Zurich,Switzerland,Zurich,,,,,,,,2025-11-28T06:57:30.501000,5acc350ce7b4,[],,,[],,,,,,[],0.0,2025-11-28T06:57:30.248000,scraped,,,,,[],,[],,,,,,[],,,[],,{},[],,,[],{},[],
University College London,United Kingdom,London,,,,,,,,2025-11-28T06:57:30.503000,b518666df0bb,[],,,[],,,,,,[],0.0,2025-11-28T06:57:30.248000,scraped,,,,,[],,[],,,,,,[],,,[],,{},[],,,[],{},[],
Utrecht University,Netherlands,Utrecht,,,,,,,,2025-11-28T06:57:30.533000,43e9946bba74,[],,,[],,,,,,[],0.0,2025-11-28T06:57:30.249000,scraped,,,,,[],,[],,,,,,[],,,[],,{},[],,,[],{},[],
Universiteit Utrecht,Netherlands,Utrecht,,,,,,,,2025-11-27T10:10:06.792000,0cc289d45daf,[],,,[],,,,,,[],0.0,2025-11-27T10:10:06.779000,scraped,,,,,[],,[],,,,,,[],,,[],,{},[],,,[],{},[],
KU Leuven,Belgium,Leuven,,,,,,,,2025-11-28T06:57:30.539000,b9e10e54d776,[],,,[],,,,,,[],0.0,2025-11-28T06:57:30.249000,scraped,,,,,[],,[],,,,,,[],,,[],,{},[],,,[],{},[],
École Polytechnique Fédérale de Lausanne (EPFL),Switzerland,Lausanne,,,,,,,,2025-11-28T06:57:30.509000,285c76401d87,[],,,[],,,,,,[],0.0,2025-11-28T06:57:30.248000,scraped,,,,,[],,[],,,,,,[],,,[],,{},[],,,[],{},[],
The University of Edinburgh,United Kingdom,Edinburgh,,,,,,,,2025-11-28T06:57:30.512000,f829b4066671,[],,,[],,,,,,[],0.0,2025-11-28T06:57:30.248000,scraped,,,,,[],,[],,,,,,[],,,[],,{},[],,,[],{},[],
University of Amsterdam,Netherlands,Amsterdam,,,,,,,,2025-11-28T06:57:30.524000,f81343cb7402,[],,,[],,,,,,[],0.0,2025-11-28T06:57:30.248000,scraped,,,,,[],,[],,,,,,[],,,[],,{},[],,,[],{},[],
University of Tartu,Estonia,Tartu,,,,,,,,2025-11-28T06:57:30.535000,a7d36af24a22,[],,,[],,,,,,[],0.0,2025-11-28T06:57:30.249000,scraped,,,,,[],,[],,,,,,[],,,[],,{},[],,,[],{},[],
Leiden University,Netherlands,Leiden,,,,,,,,2025-11-28T06:57:30.541000,0f22bc98a5be,[],,,[],,,,,,[],0.0,2025-11-28T06:57:30.249000,scraped,,,,,[],,[],,,,,,[],,,[],,{},[],,,[],{},[],
Ludwig Maximilian University of Munich,Germany,Munich,,,,,,,,2025-11-28T06:57:30.527000,7f4a6d9ab120,[],,,[],,,,,,[],0.0,2025-11-28T06:57:30.249000,scraped,,,,,[],,[],,,,,,[],,,[],,{},[],,,[],{},[],
Ludwig Maximilians University Munich,Germany,Munich,,,,,,,,2025-11-27T10:10:06.807000,f3891529ae5a,[],,,[],,,,,,[],0.0,2025-11-27T10:10:06.779000,scraped,,,,,[],,[],,,,,,[],,,[],,{},[],,,[],{},[],
Ludwig-Maximilians University Munich,Germany,Munich,,,,,,,,2025-11-27T10:10:06.809000,3e103d798ee1,[],,,[],,,,,,[],0.0,2025-11-27T10:10:06.779000,scraped,,,,,[],,[],,,,,,[],,,[],,{},[],,,[],{},[],
Ludwig Maximilian University of Munich and Université Panthéon-Sorbonne (Paris 1),Germany and France,Munich and Paris,,,,,,,,2025-11-27T10:10:06.810000,4e17a826d473,[],,,[],,,,,,[],0.0,2025-11-27T10:10:06.780000,scraped,,,,,[],,[],,,,,,[],,,[],,{},[],,,[],{},[],
University of Edinburgh,United Kingdom,Edinburgh,,,,,,,,2025-11-27T10:10:06.812000,889265a8545f,[],,,[],,,,,,[],0.0,2025-11-27T10:10:06.780000,scraped,,,,,[],,[],,,,,,[],,,[],,{},[],,,[],{},[],
The University of Manchester,United Kingdom,Manchester,,,,,,,,2025-11-28T06:57:30.514000,0ff92db0445f,[],,,[],,,,,,[],0.0,2025-11-28T06:57:30.248000,scraped,,,,,[],,[],,,,,,[],,,[],,{},[],,,[],{},[],
Test New University,USA,Stanford,,,,,,,,2025-11-27T10:10:30.758000,4db2ed99a185,[],,,[],,,,,,[],0.0,2025-11-27T10:10:30.758000,scraped,,,,,[],,[],,,,,,[],,,[],,{},[],,,[],{},[],
King's College London,United Kingdom,London,,,,,,,,2025-11-28T06:57:30.516000,9e24584e609f,[],,,[],,,,,,[],0.0,2025-11-28T06:57:30.248000,scraped,,,,,[],,[],,,,,,[],,,[],,{},[],,,[],{},[],
University of Glasgow,United Kingdom,Glasgow,,,,,,,,2025-11-28T06:57:30.520000,8d2f2e20d3df,[],,,[],,,,,,[],0.0,2025-11-28T06:57:30.248000,scraped,,,,,[],,[],,,,,,[],,,[],,{},[],,,[],{},[],
University of Leeds,United Kingdom,Leeds,,,,,,,,2025-11-28T06:57:30.521000,10c5ba7be7a7,[],,,[],,,,,,[],0.0,2025-11-28T06:57:30.248000,scraped,,,,,[],,[],,,,,,[],,,[],,{},[],,,[],{},[],
École Polytechnique Fédérale de Lausanne,Switzerland,Lausanne,,,,,,,,2025-11-27T11:37:27.470000,a9fbe52baf79,[],,,[],,,,,,[],0.0,2025-11-27T11:37:27.411000,scraped,,,,,[],,[],,,,,,[],,,[],,{},[],,,[],{},[],
Delft University of Technology,Netherlands,Delft,,,,,,,,2025-11-28T06:57:30.518000,0a402f4f1fc0,[],,,[],,,,,,[],0.0,2025-11-28T06:57:30.248000,scraped,,,,,[],,[],,,,,,[],,,[],,{},[],,,[],{},[],
PSL University,France,Paris,,,,,,,,2025-11-28T06:57:30.505000,654820ad2e5f,[],,,[],,,,,,[],0.0,2025-11-28T06:57:30.248000,scraped,,,,,[],,[],,,,,,[],,,[],,{},[],,,[],{},[],
University of Warwick,United Kingdom,Coventry,,,,,,,,2025-11-28T06:57:30.529000,b42ebb0a6291,[],,,[],,,,,,[],0.0,2025-11-28T06:57:30.249000,scraped,,,,,[],,[],,,,,,[],,,[],,{},[],,,[],{},[],
Heidelberg University,Germany,Heidelberg,,,,,,,,2025-11-28T06:57:30.531000,4227c8329d10,[],,,[],,,,,,[],0.0,2025-11-28T06:57:30.249000,scraped,,,,,[],,[],,,,,,[],,,[],,{},[],,,[],{},[],
National and Kapodistrian University of Athens,Greece,Athens,,,,,,,,2025-11-28T06:57:30.537000,87a64e40ffa7,[],,,[],,,,,,[],0.0,2025-11-28T06:57:30.249000,scraped,,,,,[],,[],,,,,,[],,,[],,{},[],,,[],{},[],
